today,consent,Q7_A,Q7_B,Q7_C,Q7_D,Q7_E,Q7_F,Q7_other,Q7_dk,Q7_skip,Q7_other_input,Q8_A,Q8_B,Q8_C,Q8_D,Q8_E,Q8_F,Q8_G,Q8_other,Q8_dk,Q8_skip,Q8_other_input,Q9_A,Q9_B,Q9_C,Q9_D,Q9_E,Q9_F,Q9_other,Q9_dk,Q9_skip,Q9_other_input,Q10_A,Q10_B,Q10_C,Q10_D,Q10_E,Q10_F,Q10_G,Q10_other,Q10_dk,Q10_skip,Q10_other_input,Q11,Q12_A,Q12_B,Q12_C,Q12_D,Q12_E,Q12_F,Q12_other,Q12_dk,Q12_skip,Q12_other_input,Q13_A,Q13_B,Q13_C,Q13_D,Q13_E,Q13_F,Q13_G,Q13_other,Q13_dk,Q13_skip,Q13_other_input,Q14,Q15_A,Q15_B,Q15_C,Q15_D,Q15_other,Q15_dk,Q15_skip,Q15_other_input,Q16,Q16_other_input,Q17_A,Q17_B,Q17_none,Q17_skip,Q18,Q19,Q20_A,Q20_B,Q20_C,Q20_other,Q20_dk,Q20_skip,Q20_other_input,Q21_A,Q21_B,Q21_C,Q21_other,Q21_dk,Q21_skip,Q21_other_input,Q22,Q23,Q24_A,Q24_B,Q24_C,Q24_D,Q24_other,Q24_dk,Q24_skip,Q24_other_input,Q25,Q26_A,Q26_B,Q26_C,Q26_D,Q26_E,Q26_F,Q26_G,Q26_H,Q26_other,Q26_skip,Q26_other_input,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,meta_instanceID,_uuid,_submission_time
6/18/14,OK,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,n/a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,n/a,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,yes,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,A,n/a,FALSE,FALSE,TRUE,FALSE,2,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,yes,n/a,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,n/a,n/a,n/a,n/a,n/a,uuid:7b2b496a-4d28-425c-9602-592fbbe9dcda,7b2b496a-4d28-425c-9602-592fbbe9dcda,2014-06-18T03:50:32
6/18/14,OK,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,n/a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,n/a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,yes,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,n/a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,no,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,n/a,A,n/a,FALSE,FALSE,FALSE,TRUE,0,999,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,n/a,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,yes,n/a,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,yes,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,High blood,Cough,Diabetes,n/a,n/a,uuid:ed12df23-0093-452d-b520-1bd8ba82851c,ed12df23-0093-452d-b520-1bd8ba82851c,2014-06-18T03:50:33
6/18/14,OK,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,n/a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,n/a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,yes,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,n/a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,no,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,n/a,A,n/a,FALSE,TRUE,FALSE,FALSE,24,7,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,n/a,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,yes,n/a,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,yes,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Fever,Cough,n/a,n/a,n/a,uuid:da30f1f1-2d9b-49a6-a0a4-520bb334a13b,da30f1f1-2d9b-49a6-a0a4-520bb334a13b,2014-06-18T03:50:34
6/18/14,OK,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,n/a,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,n/a,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,n/a,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,n/a,yes,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,n/a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,no,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,n/a,A,n/a,FALSE,TRUE,FALSE,FALSE,12,5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,n/a,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,yes,n/a,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,yes,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Asthma,Hi blood,Cough n colds,Skin problems,n/a,uuid:028e4628-ba4f-40c6-8c87-ec9dea86bc34,028e4628-ba4f-40c6-8c87-ec9dea86bc34,2014-06-18T03:50:34
6/18/14,OK,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,n/a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,n/a,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,n/a,yes,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,n/a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,no,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,n/a,A,n/a,FALSE,TRUE,FALSE,FALSE,24,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,n/a,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,yes,n/a,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,yes,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Fever,Cough,Colds,Hi blood,n/a,uuid:352ad1e2-6732-477a-b25f-9f998375a0a9,352ad1e2-6732-477a-b25f-9f998375a0a9,2014-06-18T03:50:35
6/18/14,OK,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Take vitamins, take plenty of water",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Hoarseness of voice,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Handling baby,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Cracked lips, loose stools",no,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,n/a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,no,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Buy miniral water,A,n/a,TRUE,FALSE,FALSE,FALSE,3,6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Less carbohydrates(rice), plenty of water",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Cannot eat, no energy",no,"Not posted, not informed if there are activities",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Polution,Garbage disposal,Dengue,Cough and fever on children ,Malnutrition (Scarcity of food),uuid:3ed2098b-ef16-4766-bc9f-fe41ca56f0b9,3ed2098b-ef16-4766-bc9f-fe41ca56f0b9,2014-06-18T03:54:35
6/18/14,OK,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Take vitamins, plenty of water",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Runny nose, weakness",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,After cleaning,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,yes,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,n/a,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,no,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Buy miniral water,A,n/a,FALSE,FALSE,TRUE,FALSE,24,6,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,n/a,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Weak,no,Busy,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Garbage disposal,Street light (Safety),Illegal drugs,Upper respiratory problems,Cardiovascular diseases,uuid:34c755ab-5ed5-418a-9dbc-0502bc647b3f,34c755ab-5ed5-418a-9dbc-0502bc647b3f,2014-06-18T03:54:35
6/18/14,OK,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Take vitamins,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Weakness,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,yes,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,n/a,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,no,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Buy miniral water,A,n/a,FALSE,FALSE,FALSE,TRUE,24,6,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,n/a,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Weak,no,Busy,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Posters,Malulnurished children,Upper respiratory problems,Garbage disposal,Polution,Cardiovascular problems,uuid:b0fe2933-9d0f-4fa5-87c1-dbbec64629f9,b0fe2933-9d0f-4fa5-87c1-dbbec64629f9,2014-06-18T03:54:36
6/18/14,OK,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"Taking vitamins, enough rest",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Cough, runny nose",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Loose stools, body malaise",no,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Good nutrition, enough rest",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,no,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Get water from refilling stations,A,n/a,FALSE,FALSE,FALSE,TRUE,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,n/a,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,n/a,skip,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,skip,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Malnutrition,n/a,n/a,n/a,n/a,uuid:a8d2a3da-8791-4fe1-9a18-93eeef041af3,a8d2a3da-8791-4fe1-9a18-93eeef041af3,2014-06-18T03:54:50
6/18/14,OK,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Check up,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,yes,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,n/a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,no,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Used purified water for drinking,A,n/a,FALSE,FALSE,TRUE,FALSE,999,999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,no,Barangay has no program for health,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,n/a,Tuberculosis,Lagnat,Dirrhea,Cough,Dengue,uuid:2d5b08c7-0c80-4e98-8796-c67d45d27799,2d5b08c7-0c80-4e98-8796-c67d45d27799,2014-06-18T03:57:19
